Country,Plant category,Plant type,Construction costs (USD/MWh),Refurbishment costs (USD/MWh),Decommissioning costs (USD/MWh),Total capital costs (USD/MWh),Operations & maintenance costs (USD/MWh),Fuel costs (th) (USD/MWh),Fuel costs (el) (USD/MWh),Carbon price (USD/ton),Carbon costs (USD/MWh),Heat price (USD/MWh),CHP heat revenues (USD/MWh),Discount rate,LCOE (USD/MWh),Energy type
United States,Wind,Wind offshore (600 MW),47.31,0,0.39,47.7,22.92,0,0,30,0,37.06,0,0.07,70.63,Offshore wind
United States,Wind,Wind offshore (600 MW),54.46,0,0.45,54.91,19.18,0,0,30,0,37.06,0,0.07,74.09,Offshore wind
United States,Wind,Wind offshore (600 MW),55.62,0,0.46,56.08,26.32,0,0,30,0,37.06,0,0.07,82.4,Offshore wind
United States,Wind,Wind offshore (600 MW),68.36,0,0.57,68.93,24.66,0,0,30,0,37.06,0,0.07,93.59,Offshore wind
United States,Wind,Wind offshore (600 MW),78.57,0,0.65,79.22,32.56,0,0,30,0,37.06,0,0.07,111.78,Offshore wind
United States,Wind,Wind offshore (600 MW),91.37,0,0.76,92.13,27.08,0,0,30,0,37.06,0,0.07,119.21,Offshore wind
"Korea, Republic of",Wind,Wind offshore (99.0 MW),114.93,0,0.96,115.89,45.1,0,0,30,0,37.06,0,0.07,160.99,Offshore wind
United States,Wind,Wind offshore (median case) (600 MW),43.61,0,0.36,43.97,21.65,0,0,30,0,37.06,0,0.07,65.62,Offshore wind
Italy,Wind,Wind onshore (< 1 MW) (0.014 MW),301.74,0,2.51,304.25,591.74,0,0,30,0,37.06,0,0.07,896,Onshore wind
Italy,Wind,Wind onshore (< 1 MW) (0.020 MW),168.82,0,1.41,170.23,41.87,0,0,30,0,37.06,0,0.07,212.1,Onshore wind
Italy,Wind,Wind onshore (< 1 MW) (0.059 MW),198.09,0,1.65,199.74,41.46,0,0,30,0,37.06,0,0.07,241.2,Onshore wind
Italy,Wind,Wind onshore (< 1 MW) (0.060 MW),135.26,0,1.13,136.39,39.28,0,0,30,0,37.06,0,0.07,175.67,Onshore wind
Italy,Wind,Wind onshore (< 1 MW) (0.10 MW),105.73,0,0.88,106.61,29.29,0,0,30,0,37.06,0,0.07,135.9,Onshore wind
Italy,Wind,Wind onshore (< 1 MW) (0.19 MW),156.17,0,1.3,157.47,27.55,0,0,30,0,37.06,0,0.07,185.02,Onshore wind
Italy,Wind,Wind onshore (< 1 MW) (0.50 MW),77.91,0,0.65,78.55,20.38,0,0,30,0,37.06,0,0.07,98.94,Onshore wind
Italy,Wind,Wind onshore (< 1 MW) (0.80 MW),55.13,0,0.46,55.59,19.69,0,0,30,0,37.06,0,0.07,75.28,Onshore wind
Italy,Wind,Wind onshore (< 1 MW) (0.83 MW),75.24,0,0.63,75.87,12.91,0,0,30,0,37.06,0,0.07,88.78,Onshore wind
Italy,Wind,Wind onshore (< 1 MW) (0.90 MW),55.54,0,0.46,56,15.37,0,0,30,0,37.06,0,0.07,71.37,Onshore wind
Italy,Wind,Wind onshore (< 1 MW) (0.90 MW),62.88,0,0.52,63.4,15.61,0,0,30,0,37.06,0,0.07,79.01,Onshore wind
Italy,Wind,Wind onshore (>= 1 MW) (1.0 MW),76.24,0,0.63,76.88,14.56,0,0,30,0,37.06,0,0.07,91.44,Onshore wind
Italy,Wind,Wind onshore (>= 1 MW) (10.0 MW),37.65,0,0.31,37.96,14.91,0,0,30,0,37.06,0,0.07,52.87,Onshore wind
United States,Wind,Wind onshore (>= 1 MW) (100 MW),26.26,0,0.22,26.48,8.71,0,0,30,0,37.06,0,0.07,35.19,Onshore wind
United States,Wind,Wind onshore (>= 1 MW) (100 MW),27,0,0.22,27.23,9.57,0,0,30,0,37.06,0,0.07,36.8,Onshore wind
United States,Wind,Wind onshore (>= 1 MW) (100 MW),27.66,0,0.23,27.89,9.92,0,0,30,0,37.06,0,0.07,37.81,Onshore wind
United States,Wind,Wind onshore (>= 1 MW) (100 MW),30.23,0,0.25,30.48,10.69,0,0,30,0,37.06,0,0.07,41.17,Onshore wind
Australia,Wind,Wind onshore (>= 1 MW) (100 MW),33.41,0,0.28,33.69,9.31,0,0,30,0,37.06,0,0.07,43,Onshore wind
United States,Wind,Wind onshore (>= 1 MW) (100 MW),36.46,0,0.3,36.76,11.36,0,0,30,0,37.06,0,0.07,48.13,Onshore wind
United States,Wind,Wind onshore (>= 1 MW) (100 MW),42.62,0,0.35,42.98,12.53,0,0,30,0,37.06,0,0.07,55.5,Onshore wind
United States,Wind,Wind onshore (>= 1 MW) (100 MW),58.66,0,0.49,59.15,14.15,0,0,30,0,37.06,0,0.07,73.29,Onshore wind
United States,Wind,Wind onshore (>= 1 MW) (100 MW),75.76,0,0.63,76.39,16.49,0,0,30,0,37.06,0,0.07,92.88,Onshore wind
United States,Wind,Wind onshore (>= 1 MW) (100 MW),127.99,0,1.07,129.06,26.07,0,0,30,0,37.06,0,0.07,155.13,Onshore wind
Norway,Wind,Wind onshore (>= 1 MW) (130 MW),20.75,0,0.17,20.92,9.84,0,0,30,0,37.06,0,0.07,30.76,Onshore wind
"Korea, Republic of",Wind,Wind onshore (>= 1 MW) (14.9 MW),84.4,0,0.7,85.1,28.22,0,0,30,0,37.06,0,0.07,113.33,Onshore wind
Italy,Wind,Wind onshore (>= 1 MW) (20.0 MW),49.17,0,0.41,49.58,9.94,0,0,30,0,37.06,0,0.07,59.52,Onshore wind
Japan,Wind,Wind onshore (>= 1 MW) (20.0 MW),111.76,0,0.93,112.69,27.48,0,0,30,0,37.06,0,0.07,140.17,Onshore wind
Canada,Wind,Wind onshore (>= 1 MW) (200 MW),33.34,0,0.28,33.62,13.21,0,0,30,0,37.06,0,0.07,46.83,Onshore wind
Russian Federation,Wind,Wind onshore (>= 1 MW) (280 MW),53.4,0,0.44,53.85,13.5,0,0,30,0,37.06,0,0.07,67.35,Onshore wind
Austria,Wind,Wind onshore (>= 1 MW) (3.0 MW),52.31,0,0.44,52.74,23.61,0,0,30,0,37.06,0,0.07,76.35,Onshore wind
Brazil,Wind,Wind onshore (>= 1 MW) (30.0 MW),27.38,0,0.23,27.61,5.98,0,0,30,0,37.06,0,0.07,33.59,Onshore wind
Finland,Wind,Wind onshore (>= 1 MW) (30.0 MW),37.62,0,0.31,37.94,6.94,0,0,30,0,37.06,0,0.07,44.88,Onshore wind
Belgium,Wind,Wind onshore (>= 1 MW) (30.0 MW),47.22,0,0.39,47.61,10.29,0,0,30,0,37.06,0,0.07,57.9,Onshore wind
Belgium,Wind,Wind onshore (>= 1 MW) (30.0 MW),50.46,0,0.42,50.88,13.23,0,0,30,0,37.06,0,0.07,64.11,Onshore wind
Denmark,Wind,Wind onshore (>= 1 MW) (4.5 MW),22.69,0,0.19,22.88,6.3,0,0,30,0,37.06,0,0.07,29.18,Onshore wind
Belgium,Wind,Wind onshore (>= 1 MW) (4.5 MW),60.13,0,0.5,60.63,17.71,0,0,30,0,37.06,0,0.07,78.33,Onshore wind
Belgium,Wind,Wind onshore (>= 1 MW) (5.0 MW),48.18,0,0.4,48.58,19.96,0,0,30,0,37.06,0,0.07,68.54,Onshore wind
Netherlands,Wind,Wind onshore (>= 1 MW) (50.0 MW),25.42,0.3,0.21,25.93,15.23,0,0,30,0,37.06,0,0.07,41.17,Onshore wind
France,Wind,Wind onshore (>= 1 MW) (50.0 MW),38.04,0,0.32,38.35,17.73,0,0,30,0,37.06,0,0.07,56.08,Onshore wind
China,Wind,Wind onshore (>= 1 MW) (50.0 MW),44.87,0,0.37,45.25,13.18,0,0,30,0,37.06,0,0.07,58.43,Onshore wind
Russian Federation,Wind,Wind onshore (>= 1 MW) (60.0 MW),57.99,0,0.48,58.47,13.82,0,0,30,0,37.06,0,0.07,72.29,Onshore wind
India,Wind,Wind onshore (>= 1 MW) (65.0 MW),31.92,0,0.27,32.19,3.72,0,0,30,0,37.06,0,0.07,35.91,Onshore wind
United States,Wind,Wind onshore (>= 1 MW) (median case) (100 MW),28.52,0,0.24,28.76,10.26,0,0,30,0,37.06,0,0.07,39.02,Onshore wind
